id,name,country,countryCode,headquartersCity,usState,foundedYear,companyType,website,linkedin,segments,fundingStage,employeeRange,description,notableAchievements,activeProducts
intuitive-machines,Intuitive Machines,United States,US,"Houston, TX",TX,2013,publicly_traded,https://www.intuitivemachines.com,https://www.linkedin.com/company/intuitive-machines,lander; in_space_services,Public (LUNR),400+,Intuitive Machines is a space exploration company providing lunar access services. Their Nova-C lander became the first commercial spacecraft to successfully land on the Moon in 2024.,First US Moon landing since Apollo (2024); NASA CLPS contract holder,Nova-C lander; Lunar Data Services
astrobotic,Astrobotic,United States,US,"Pittsburgh, PA",PA,2007,commercial_private,https://www.astrobotic.com,https://www.linkedin.com/company/astrobotic-technology,lander; transportation_logistics,Series C,300+,Astrobotic is a lunar logistics company providing delivery services to the Moon. The company develops the Peregrine and Griffin landers for NASA's Commercial Lunar Payload Services program.,NASA VIPER rover contract; Multiple CLPS missions,Peregrine lander; Griffin lander; CubeRover
planet-labs,Planet Labs,United States,US,"San Francisco, CA",CA,2010,publicly_traded,https://www.planet.com,https://www.linkedin.com/company/planet-labs,satellite_manufacturer; satellite_operator; data_analytics,Public (PL),900+,"Planet Labs operates the largest constellation of Earth observation satellites, providing daily global imagery and analytics. Their fleet of Dove and SuperDove satellites capture the entire Earth's landmass daily.",Largest Earth imaging constellation; Daily global coverage,Dove satellites; SuperDove satellites; SkySat; Planet Analytics
maxar,Maxar Technologies,United States,US,"Westminster, CO",CO,1969,commercial_private,https://www.maxar.com,https://www.linkedin.com/company/maxar-technologies,satellite_manufacturer; data_analytics,Private (Advent acquired),"4,500+","Maxar Technologies is a space technology company specializing in Earth intelligence, geospatial data, and satellite manufacturing. They provide high-resolution satellite imagery and geospatial solutions.",WorldView satellite constellation; Power and Propulsion Element for Lunar Gateway,WorldView Legion; 1300 platform; Geospatial analytics
axiom-space,Axiom Space,United States,US,"Houston, TX",TX,2016,commercial_private,https://www.axiomspace.com,https://www.linkedin.com/company/axiom-space,space_stations; transportation_logistics,Series D,700+,"Axiom Space is building the world's first commercial space station, with Axiom Station Module 1 on track for ISS attachment. The company has conducted four private astronaut missions to the ISS and delivered NASA's next-generation Artemis spacesuits.",Four private astronaut missions to ISS; NASA Artemis spacesuit contract; Axiom Station Module 1 in production; NASA commercial destination award,Axiom Station modules; AxEMU spacesuit; Private astronaut missions
sierra-space,Sierra Space,United States,US,"Louisville, CO",CO,2021,commercial_private,https://www.sierraspace.com,https://www.linkedin.com/company/sierra-space,space_stations; transportation_logistics,Series B,"1,400+",Sierra Space is developing the Dream Chaser spaceplane and LIFE habitat for the Orbital Reef commercial space station. The company aims to create a thriving space economy.,Dream Chaser spaceplane development; Orbital Reef partnership with Blue Origin,Dream Chaser; LIFE habitat
northrop-grumman,Northrop Grumman Space,United States,US,"Falls Church, VA",VA,1939,publicly_traded,https://www.northropgrumman.com/space,https://www.linkedin.com/company/northrop-grumman-corporation,launch_provider; satellite_manufacturer; in_space_services,Public (NOC),"90,000+ (company-wide)","Northrop Grumman's Space Systems sector provides launch vehicles, satellites, and space logistics. They operate Cygnus cargo spacecraft and developed the MEV satellite servicing vehicles.",MEV-1 first commercial satellite servicing; Antares/Cygnus ISS resupply,Antares; Cygnus; MEV; National security satellites
lockheed-martin-space,Lockheed Martin Space,United States,US,"Littleton, CO",CO,1995,publicly_traded,https://www.lockheedmartin.com/en-us/capabilities/space.html,https://www.linkedin.com/company/lockheed-martin,satellite_manufacturer; lander,Public (LMT),"116,000+ (company-wide)","Lockheed Martin Space designs, develops, and operates advanced space systems including satellites, spacecraft, and exploration vehicles. They are building the Orion spacecraft for Artemis.",Orion spacecraft; Mars missions; GPS satellites,Orion; GPS III satellites; Space-based missiles defense
boeing-space,Boeing Space & Launch,United States,US,"Arlington, VA",VA,1916,publicly_traded,https://www.boeing.com/space,https://www.linkedin.com/company/boeing,launch_provider; space_stations; satellite_manufacturer,Public (BA),"140,000+ (company-wide)","Boeing Space & Launch develops spacecraft, satellites, and launch systems. The company operates the CST-100 Starliner crew vehicle and contributed to the International Space Station.",ISS construction; Starliner crewed flight; SLS core stage,Starliner; SLS core stage; X-37B; Satellites
terran-orbital,Terran Orbital (Lockheed Martin),United States,US,"Boca Raton, FL",FL,2013,joint_venture,https://terranorbital.com,https://www.linkedin.com/company/terran-orbital,satellite_manufacturer,Acquired (Lockheed Martin),500+,"Terran Orbital was acquired by Lockheed Martin in October 2024 for ~$450M enterprise value. Now operating as 'Terran Orbital, a Lockheed Martin Company,' it continues as a merchant supplier of small satellites for military, civil, and commercial customers under Lockheed Martin's Space division.",Acquired by Lockheed Martin (Oct 2024); Rivada constellation contract; SDA Tranche satellites,Small satellites; CubeSats; Mission solutions
viasat,Viasat,United States,US,"Carlsbad, CA",CA,1986,publicly_traded,https://www.viasat.com,https://www.linkedin.com/company/viasat,satellite_operator; satellite_manufacturer,Public (VSAT),"7,000+",Viasat is a global communications company providing high-speed satellite broadband services and secure networking systems. Their ViaSat-3 constellation provides ultra-high capacity connectivity.,ViaSat-3 launch; Inmarsat acquisition; Global coverage,ViaSat-3; Inmarsat services; Government solutions
iridium,Iridium Communications,United States,US,"McLean, VA",VA,1991,publicly_traded,https://www.iridium.com,https://www.linkedin.com/company/iridium,satellite_operator,Public (IRDM),700+,"Iridium operates the world's only truly global satellite communications network, providing voice and data connectivity anywhere on Earth. The Iridium NEXT constellation offers enhanced capabilities including Iridium Certus broadband.",Global satellite network; Iridium NEXT constellation; Direct-to-device partnerships,Iridium NEXT; Iridium Certus; IoT services
impulse-space,Impulse Space,United States,US,"Redondo Beach, CA",CA,2021,commercial_private,https://www.impulsespace.com,https://www.linkedin.com/company/impulse-space,in_space_services; propulsion_systems,Series B,200+,"Impulse Space develops in-space transportation vehicles to deliver satellites to precise orbits. Founded by former SpaceX propulsion director Tom Mueller, the company launched its upgraded Mira vehicle on LEO Express-3 and debuted the Helios kick stage in early 2026. Impulse has partnered with Anduril for an RPO (rendezvous & proximity operations) demo mission.",Mira OTV operational; Helios kick stage debut (2026); LEO Express-3 mission success; Anduril RPO demo partnership; Series B funding secured,Mira; Helios
varda-space,Varda Space Industries,United States,US,"El Segundo, CA",CA,2020,commercial_private,https://www.varda.com,https://www.linkedin.com/company/varda-space-industries,manufacturing_materials; in_space_services,Series B,100+,Varda Space Industries manufactures products in microgravity and returns them to Earth. The company focuses on pharmaceutical compounds and advanced materials that benefit from space production.,First commercial in-space manufacturing mission; Successful capsule return 2024,W-Series spacecraft; In-space manufacturing
anduril,Anduril Industries,United States,US,"Costa Mesa, CA",CA,2017,commercial_private,https://www.anduril.com,https://www.linkedin.com/company/anduril,satellite_manufacturer; in_space_services; data_analytics,Late Stage,"4,000+","Anduril Industries is a defense technology company building autonomous systems and AI-powered platforms for national security. In the space domain, Anduril is positioning for the Golden Dome missile defense architecture with satellite-based interceptor and sensor systems, partnering with Apex Space for satellite bus supply.",$14B+ valuation; Golden Dome positioning; Apex Space partnership for satellite buses; Lattice AI platform,Lattice; Autonomous Systems
apex-space,Apex Space,United States,US,"Los Angeles, CA",CA,2022,commercial_private,https://www.apexspace.com,https://www.linkedin.com/company/apex-space,satellite_manufacturer; in_space_services,Series D,200+,"Apex Space is the leading mass-manufacturer of configurable satellite buses for defense and commercial constellations. Its three platforms — Aries, Nova, and Comet — carry 100 to 5,000 kg of payload. The company reached unicorn status in 2025 with $500M+ raised, and its factory produces 200+ satellite buses per year.",$1B+ valuation in 3 years; Project Shadow orbital interceptor demo; 200+ satellite bus annual production capacity; Anduril strategic partnership,Aries Bus; Nova Bus; Comet Bus; Orbital Magazine
k2-space,K2 Space,United States,US,"Torrance, CA",CA,2022,commercial_private,https://www.k2space.com,https://www.linkedin.com/company/k2-space,satellite_manufacturer,Series C,160+,"K2 Space builds mega-class satellites that deliver 10x the power of traditional satellite buses at a fraction of the cost. With $441M+ raised at a $3B valuation, the company has $500M in signed contracts and a 180,000 sq ft factory producing up to 100 satellites per year.",$3B valuation; $500M in signed contracts; GRAVITAS satellite launching March 2026; SES partnership for MEO constellation,Mega Class Satellite; GRAVITAS
portal-space,Portal Space Systems,United States,US,"Redmond, WA",WA,2021,commercial_private,https://www.portalspacesystems.com,https://www.linkedin.com/company/portal-space-systems,propulsion_systems,Early Stage,,"Portal Space Systems develops the Afterburner, a solar thermal propulsion system that uses concentrated sunlight to superheat propellant, delivering higher specific impulse than chemical thrusters at a fraction of the cost. The technology enables sustained, responsive spacecraft maneuvering for defense and commercial constellations.",Solar thermal propulsion development; Flagged in Payload Space Golden Dome review,Afterburner
quantum-space,Quantum Space,United States,US,"Columbia, MD",MD,2021,commercial_private,https://quantumspace.us,https://www.linkedin.com/company/quantum-space,satellite_operator; in_space_services; ground_systems,Early Stage,,"Quantum Space provides cislunar situational awareness and relay infrastructure, positioning communications and navigation nodes beyond GEO to support lunar missions and defense operations. Backed by Draper Laboratory, the company's Eos spacecraft program has drawn U.S. Space Force interest.",Draper Laboratory backing; Eos spacecraft program; U.S. Space Force interest; Cislunar relay architecture,Eos Spacecraft
true-anomaly,True Anomaly,United States,US,"Centennial, CO",CO,2022,commercial_private,https://www.trueanomaly.space,https://www.linkedin.com/company/true-anomaly,satellite_manufacturer; in_space_services; data_analytics,Series C,200+,"True Anomaly builds autonomous orbital vehicles and space domain awareness software. Its Jackal vehicle can maneuver, track, and operate against threats on orbit, while its Mosaic software provides AI-driven space domain awareness for defense applications.",$389M raised Series C; $30M VICTUS HAZE Space Force contract; Classified OTA for boost-phase interceptor prototypes; Jackal autonomous orbital vehicle,Jackal; Mosaic
voyager-technologies,Voyager Technologies,United States,US,"Denver, CO",CO,2019,publicly_traded,https://www.voyagerspace.com,https://www.linkedin.com/company/voyager-space-holdings,space_stations; in_space_services; propulsion_systems,Public,500+,Voyager Technologies (NYSE: VOYG) is the only publicly traded pure-play in the tier-2 defense space supply chain. The company acquired ExoTerra Resource for electric propulsion systems and holds a patent for producing ultra-pure optical crystals in microgravity. Key programs include Starlab commercial space station.,IPO June 2025 (NYSE: VOYG); ExoTerra acquisition for electric propulsion; Microgravity optical crystal patent; NASA $217.5M Starlab grant,Starlab; ExoTerra Propulsion
esa,European Space Agency,Europe,EU,"Paris, France",,1975,government_agency,https://www.esa.int,https://www.linkedin.com/company/european-space-agency,government_agency,,"2,500+","The European Space Agency is an intergovernmental organization of 22 member states dedicated to space exploration. ESA coordinates European space activities and develops rockets, spacecraft, and space infrastructure.",Rosetta comet mission; Galileo navigation; Copernicus Earth observation; Ariane program,Ariane 6; Vega-C; Galileo; Copernicus
arianespace,Arianespace,France,FR,Évry-Courcouronnes,,1980,commercial_private,https://www.arianespace.com,https://www.linkedin.com/company/arianespace,launch_provider,,400+,"Arianespace is the world's first commercial launch services company, operating from Europe's Spaceport in French Guiana. The company provides launch services using Ariane 6 and Vega rockets.",400+ satellite launches; Ariane 5 success record; Ariane 6 inaugural flight 2024,Ariane 6; Vega-C
arianegroup,ArianeGroup,France,FR,Paris,,2015,joint_venture,https://www.ariane.group,https://www.linkedin.com/company/arianegroup,launch_provider; propulsion_systems,,"8,000+","ArianeGroup is a joint venture between Airbus and Safran, developing and manufacturing the Ariane 6 launcher. The company leads European access to space with propulsion and launch vehicle expertise.",Ariane 6 development; Prometheus reusable engine,Ariane 6; Prometheus engine; Vinci upper stage
isar-aerospace,Isar Aerospace,Germany,DE,Ottobrunn,,2018,commercial_private,https://www.isaraerospace.com,https://www.linkedin.com/company/isar-aerospace,launch_provider,Series C,400+,"Isar Aerospace is developing Spectrum, a new European launch vehicle designed for small and medium payloads. The company aims to provide flexible, cost-effective access to space from European soil.",ESA launch services contract; Andøya launch site agreement,Spectrum
rfa,Rocket Factory Augsburg,Germany,DE,Augsburg,,2018,commercial_private,https://www.rfa.space,https://www.linkedin.com/company/rfa-space,launch_provider,Series B,200+,"Rocket Factory Augsburg is developing RFA ONE, a German-designed orbital rocket. The company aims to provide European launch services at competitive prices with rapid manufacturing.",Staged combustion engine development; SaxaVord launch agreement,RFA ONE
ohb,OHB SE,Germany,DE,Bremen,,1981,publicly_traded,https://www.ohb.de,https://www.linkedin.com/company/ohb-se,satellite_manufacturer; data_analytics,Public,"3,200+","OHB SE is one of Europe's leading space and technology companies, specializing in satellites, aerospace structures, and data analytics. The company has delivered numerous Galileo satellites.",Galileo satellites; EnMAP hyperspectral mission; PLATO telescope,Galileo satellites; Earth observation satellites; Space systems
pld-space,PLD Space,Spain,ES,Elche,,2011,commercial_private,https://www.pldspace.com,https://www.linkedin.com/company/pld-space,launch_provider,Series C,150+,PLD Space is developing reusable launch vehicles to provide affordable small satellite launch services from Europe. The company successfully launched Miura 1 in 2023.,First Spanish rocket to reach space (Miura 1); Reusable technology development,Miura 1; Miura 5
orbex,Orbex,United Kingdom,GB,"Forres, Scotland",,2015,commercial_private,https://orbex.space,https://www.linkedin.com/company/orbex-space,launch_provider,Series C,200+,"Orbex is developing Prime, an environmentally sustainable orbital rocket designed for small satellite launches. The company operates from Sutherland Spaceport in Scotland.",Bio-propane fueled rocket; 3D-printed rocket engine; Sutherland Spaceport,Prime
skyrora,Skyrora,United Kingdom,GB,"Edinburgh, Scotland",,2017,commercial_private,https://www.skyrora.com,https://www.linkedin.com/company/skyrora,launch_provider,Series B,150+,"Skyrora is a UK launch company developing Skyrora XL, an orbital rocket for small satellite deployment. The company uses innovative manufacturing and eco-friendly propellants.",Skylark L suborbital flights; Ecosene sustainable fuel,Skyrora XL; Space Tug
saxavord,SaxaVord UK Spaceport,United Kingdom,GB,"Unst, Shetland",,2021,commercial_private,https://www.saxavord.space,https://www.linkedin.com/company/saxavord-spaceport,ground_systems,,50+,"SaxaVord is the UK's first vertical launch spaceport, located on Unst in the Shetland Islands. The site provides launch services for small satellite operators seeking polar and sun-synchronous orbits.",First licensed UK spaceport; Multiple launch provider agreements,Launch facilities; Mission support
telespazio,Telespazio,Italy,IT,Rome,,1961,joint_venture,https://www.telespazio.com,https://www.linkedin.com/company/telespazio,satellite_operator; ground_systems,,"3,000+","Telespazio is a joint venture between Leonardo and Thales, providing satellite operations, Earth observation services, and space infrastructure management. The company operates one of Europe's largest ground station networks.",Fucino Space Centre; Galileo operations; Copernicus ground segment,GEOS; e-GEOS; Satellite operations
thales-alenia-space,Thales Alenia Space,France,FR,Cannes,,2007,joint_venture,https://www.thalesaleniaspace.com,https://www.linkedin.com/company/thales-alenia-space,satellite_manufacturer; space_stations,,"8,900+","Thales Alenia Space is a joint venture between Thales and Leonardo. In October 2025, the parent companies signed an MoU with Airbus to merge European space divisions (excluding launch) into a consolidated entity, expected operational by 2027. Specializes in telecom, Earth observation, space exploration, and orbital infrastructure.",ISS modules; Galileo satellites; Hera asteroid mission,Telecommunications satellites; Navigation payloads; Orbital modules
airbus-defence-space,Airbus Defence and Space,Europe,EU,"Leiden, Netherlands",,2014,publicly_traded,https://www.airbus.com/en/products-services/space,https://www.linkedin.com/company/airbus-defence-and-space,satellite_manufacturer; launch_provider,Public (AIR.PA),"35,000+","Airbus Defence and Space is Europe's largest space company, designing and manufacturing satellites, orbital systems, and launcher components. In October 2025, Airbus signed an MoU with Leonardo and Thales to merge their space divisions (excluding launch) into a joint European space entity, expected operational by 2027.",OneSat platform; Eurostar NEO; Bartolomeo ISS platform,Telecommunications satellites; Earth observation systems; Ariane 6 components
cnsa,China National Space Administration,China,CN,Beijing,,1993,government_agency,http://www.cnsa.gov.cn,,government_agency,,,"CNSA is the national space agency of China responsible for planning and development of space activities. The agency oversees China's ambitious lunar, Mars, and space station programs.",Tiangong space station; Chang'e lunar missions; Tianwen Mars mission,CSS (Tiangong); Chang'e program; Tianwen program
casc,China Aerospace Science & Technology,China,CN,Beijing,,1999,state_owned,http://english.spacechina.com,,launch_provider; satellite_manufacturer,,"180,000+","CASC is China's main contractor for space activities, developing the Long March rocket family and operating China's human spaceflight and deep space exploration programs.",Long March rocket family; Shenzhou crewed flights; BeiDou constellation,Long March 5; Long March 7; Shenzhou; Tianzhou
landspace,LandSpace,China,CN,Beijing,,2015,commercial_private,http://www.landspace.com,,launch_provider,Series D,800+,"LandSpace is one of China's leading commercial launch companies, developing the Zhuque rocket series. Zhuque-2 became the world's first methane-fueled rocket to reach orbit.",First methane rocket to orbit (Zhuque-2); Reusable rocket development,Zhuque-2; Zhuque-3
ispace-china,iSpace (China),China,CN,Beijing,,2016,commercial_private,http://www.i-space.com.cn,,launch_provider,Series B,400+,Beijing Interstellar Glory Space Technology (iSpace) is a Chinese commercial launch company developing the Hyperbola rocket series for small satellite launches.,First Chinese private company to reach orbit,Hyperbola-1; Hyperbola-2
galactic-energy,Galactic Energy,China,CN,Beijing,,2018,commercial_private,http://www.galactic-energy.cn,,launch_provider,Series C,500+,Galactic Energy develops commercial launch vehicles including the Ceres-1 solid rocket and Pallas-1 reusable liquid rocket. The company has achieved multiple successful orbital launches.,Multiple Ceres-1 orbital successes; Pallas-1 development,Ceres-1; Pallas-1
deep-blue-aerospace,Deep Blue Aerospace,China,CN,Beijing,,2016,commercial_private,http://www.deepbluespace.cn,,launch_provider,Series B,300+,Deep Blue Aerospace is developing reusable rocket technology with the Nebula-1 rocket. The company has demonstrated successful vertical takeoff and landing tests.,VTVL rocket testing; Reusable first stage development,Nebula-1
isro,Indian Space Research Organisation,India,IN,Bengaluru,,1969,government_agency,https://www.isro.gov.in,,government_agency; launch_provider,,"16,000+","ISRO is India's national space agency, known for cost-effective space missions. ISRO has achieved significant milestones including Mars Orbiter Mission and Chandrayaan lunar program.",Mars Orbiter Mission; Chandrayaan-3 lunar landing; Gaganyaan development,PSLV; GSLV; LVM3; Gaganyaan
agnikul,Agnikul Cosmos,India,IN,Chennai,,2017,commercial_private,https://agnikul.in,https://www.linkedin.com/company/agnikul-cosmos,launch_provider,Series B,200+,Agnikul Cosmos is developing 3D-printed rocket engines and the Agnibaan launch vehicle for small satellite deployment. The company achieved the world's first 3D-printed single-piece rocket engine.,World's first single-piece 3D-printed rocket engine; ISRO technical partnership,Agnibaan
skyroot,Skyroot Aerospace,India,IN,Hyderabad,,2018,commercial_private,https://skyroot.in,https://www.linkedin.com/company/skyroot-aerospace,launch_provider,Series B,300+,Skyroot Aerospace became India's first private company to launch a rocket to space with Vikram-S in 2022. The company is developing the Vikram rocket family for small satellite launches.,First private Indian space launch (Vikram-S); Dhawan engine development,Vikram-I; Vikram-II; Vikram-III
pixxel,Pixxel,India,IN,Bengaluru,,2019,commercial_private,https://www.pixxel.space,https://www.linkedin.com/company/pixxel-space,satellite_manufacturer; data_analytics,Series B,150+,Pixxel is building the world's highest resolution hyperspectral satellite constellation to monitor environmental and agricultural changes from space.,Shakuntala hyperspectral satellite; SpaceX launch partnership,Fireflies constellation; Aurora analytics platform
bellatrix,Bellatrix Aerospace,India,IN,Bengaluru,,2015,commercial_private,https://www.bellatrixaerospace.com,https://www.linkedin.com/company/bellatrix-aerospace,propulsion_systems; in_space_services,Series A,100+,Bellatrix Aerospace develops advanced propulsion systems including green propellant thrusters and electric propulsion for satellites and orbital transfer vehicles.,India's first private in-space propulsion system; Green propulsion development,Arka OTV; Hall thrusters; Green monopropellant
jaxa,Japan Aerospace Exploration Agency,Japan,JP,"Chōfu, Tokyo",,2003,government_agency,https://global.jaxa.jp,,government_agency,,"1,500+","JAXA is Japan's national aerospace agency conducting space, aviation, and research activities. JAXA operates the H3 rocket and leads missions including asteroid sample return and lunar exploration.",Hayabusa asteroid sample return; H-IIA/H3 rockets; ISS Kibo module,H3; HTV-X; Martian Moons eXploration
mhi,Mitsubishi Heavy Industries,Japan,JP,Tokyo,,1884,publicly_traded,https://www.mhi.com,https://www.linkedin.com/company/mitsubishi-heavy-industries,launch_provider; satellite_manufacturer,Public,"80,000+ (company-wide)","MHI is Japan's primary launch vehicle manufacturer, developing and operating the H-IIA and H3 rockets. The company also manufactures satellites and space station components.",50+ H-IIA launches; H3 development; ISS supply missions,H3; H-IIA; Satellites
ispace-japan,ispace,Japan,JP,Tokyo,,2010,publicly_traded,https://ispace-inc.com,https://www.linkedin.com/company/ispace-inc,lander; transportation_logistics,Public (9348.T),200+,ispace is a lunar exploration company developing HAKUTO-R lunar landers and rovers. The company aims to extend human presence beyond Earth through lunar infrastructure development.,HAKUTO-R Mission 1; Multiple NASA CLPS payload contracts,HAKUTO-R lander; Micro rover
synspective,Synspective,Japan,JP,Tokyo,,2018,commercial_private,https://synspective.com,https://www.linkedin.com/company/synspective,satellite_manufacturer; satellite_operator; data_analytics,Series C,200+,"Synspective develops and operates small SAR (Synthetic Aperture Radar) satellites for all-weather, day-and-night Earth observation. The company provides geospatial data solutions.",StriX SAR constellation; Land Displacement Monitoring service,StriX satellites; Land Displacement Monitoring; Flood Damage Assessment
astroscale,Astroscale,Japan,JP,Tokyo,,2013,commercial_private,https://astroscale.com,https://www.linkedin.com/company/astroscale,in_space_services,Series G,400+,Astroscale is the world leader in orbital debris removal and satellite servicing. The company develops technologies for sustainable space operations and end-of-life satellite services.,ELSA-d debris removal demonstration; JAXA ADRAS-J mission,ELSA-M; ADRAS-J; LEXI
roscosmos,Roscosmos,Russia,RU,Moscow,,1992,state_owned,https://www.roscosmos.ru,,government_agency,,"170,000+","Roscosmos is the Russian state space corporation responsible for Russia's space program. The agency operates human spaceflight, launch services, and maintains the Russian ISS segment.",Mir space station; Soyuz reliability record; ISS partnership,Soyuz; Progress; Angara
rsc-energia,RSC Energia,Russia,RU,Korolev,,1946,state_owned,https://www.energia.ru,,space_stations; transportation_logistics,,"22,000+","RSC Energia is Russia's primary human spaceflight contractor, manufacturing Soyuz and Progress spacecraft. The company traces its heritage to Sergei Korolev's design bureau.",Soyuz spacecraft; Mir modules; ISS Russian segment,Soyuz MS; Progress MS; Nauka module
isa,Israel Space Agency,Israel,IL,Tel Aviv,,1983,government_agency,https://www.space.gov.il,,government_agency,,50+,The Israel Space Agency coordinates Israel's space program and research activities. ISA oversees satellite development and international space partnerships.,Beresheet lunar attempt; EROS satellite series; Shavit launches,Shavit; Space research programs
iai,Israel Aerospace Industries,Israel,IL,Lod,,1953,state_owned,https://www.iai.co.il,https://www.linkedin.com/company/israel-aerospace-industries,satellite_manufacturer; launch_provider,,"15,000+ (company-wide)","IAI Space is Israel's main aerospace and defense company, developing satellites, launch vehicles, and space systems. IAI built Israel's reconnaissance satellite constellation.",Shavit launcher; AMOS satellite series; OFEQ reconnaissance satellites,AMOS satellites; Shavit; Space systems
csa,Canadian Space Agency,Canada,CA,"Saint-Hubert, Quebec",,1989,government_agency,https://www.asc-csa.gc.ca,https://www.linkedin.com/company/canadian-space-agency,government_agency,,700+,"The Canadian Space Agency coordinates Canada's space activities and partnerships, including significant contributions to the ISS through the Canadarm2 robotic system.",Canadarm; Canadarm2; Dextre; RADARSAT constellation,Lunar Gateway contributions; RADARSAT; Astronaut program
